trace_id,capability_id,requirement_id,requirement_name,document,spec_id,module,work_package,code_location,authoritative_store,entities,api_operations,events,ui_surfaces,error_codes,risk_class,signature_relevant,test_case_ids,test_case_count,qualification_stage,evidence_location,prompt_file,build_stage,verification_state,validation_state,gap_reference,source_file
TR-00001,MAT-018; MD-010,MUT-FR-001,Single regulated mutation entry point,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,yes,TC-003-001-01; TC-003-001-02; TC-003-001-03; TC-003-001-04,4,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00002,MAT-018; MD-010,MUT-FR-002,Authenticated actor context,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,no,TC-003-002-01; TC-003-002-02; TC-003-002-03; TC-003-002-04,4,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00003,MAT-018; MD-010,MUT-FR-003,Tenant/site scope enforcement,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,no,TC-003-003-01; TC-003-003-02,2,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,VERIFIED,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00004,MAT-018; MD-010,MUT-FR-004,Command classification,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,yes,TC-003-004-01; TC-003-004-02; TC-003-004-03; TC-003-004-04,4,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00005,MAT-018; MD-010,MUT-FR-005,Schema validation,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type}; contract: contracts/openapi/spec-gxp-001.yaml,,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,no,TC-003-005-01; TC-003-005-02,2,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00006,MAT-018; MD-010,MUT-FR-006,Authorization decision,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,no,TC-003-006-01; TC-003-006-02,2,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00007,MAT-018; MD-010,MUT-FR-007,Qualification/training gate,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,no,TC-003-007-01,1,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,BLOCKED,NOT_VALIDATED,SG-022,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00008,MAT-018; MD-010,MUT-FR-008,State-transition validation,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,no,TC-003-008-01; TC-003-008-02; TC-003-008-03,3,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,VERIFIED,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00009,MAT-018; MD-010,MUT-FR-009,Expected-version concurrency,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,no,TC-003-009-01; TC-003-009-02; TC-003-009-03,3,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00010,MAT-018; MD-010,MUT-FR-010,Idempotency,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type}; contract: contracts/openapi/spec-gxp-001.yaml,,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,no,TC-003-010-01,1,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,VERIFIED,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
