requirement_id,document,spec_id,module_title,work_package,code_location,requirement_name,required_behavior,acceptance_intent,source_section,provisional_risk_class,authoritative_store,source_file
C-001,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Organization & Legal Entity,"Represents the regulated manufacturer, business entity and operating organization responsible for records. It separates corporate ownership from manufacturing sites and forms the root of authorization, reporting and retention policies.",**Frappe DocTypes** will model Organization and Legal Entity. GxP records must additionally carry immutable organization/site identifiers so historical records do not change if master data is renamed.,"5.1 Organization, facility and production structure",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-002,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Manufacturing Site,"Represents each FDA-regulated manufacturing facility. All batches, equipment, personnel, warehouses and quality events must belong to a defined site.","Frappe handles site master, relationships and permissions. Proprietary GxP records store a snapshot of the site identity at execution time.","5.1 Organization, facility and production structure",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-003,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Building / Area / Room / Line,"Creates the physical manufacturing hierarchy required to determine where each regulated operation took place. Supports contamination controls, equipment location and authorized-area rules.",Frappe hierarchical DocTypes. GxP execution engine validates whether the operation is permitted in the selected area.,"5.1 Organization, facility and production structure",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-004,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Department / Function,"Defines Production, QA, QC, Warehouse, Engineering and other organizational functions. Required for responsibilities and segregation of duties.",Frappe Role and Department models plus proprietary policy mappings.,"5.1 Organization, facility and production structure",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-005,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Shift Management,"Records production shifts and associates operators and activities with the active shift. Useful for investigations, operational reviews and traceability.",Frappe master + scheduling. Actual execution timestamps remain server-authoritative within GxP Core.,"5.1 Organization, facility and production structure",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-006,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Unique User Identity,"Every human must use a unique identity. Shared Production, QA or Admin accounts must not be permitted for regulated actions.","Frappe users may represent identities, but **enterprise identity should preferably be delegated to Keycloak, Entra ID or customer IdP**.","6. IDENTITY, PEOPLE AND QUALIFICATION",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-007,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Role Based Access,"Determines what operators, supervisors, QA, QC, engineering and administrators may see and perform.",Frappe has native user/role permission support. Proprietary GxP Core independently validates critical actions rather than trusting UI permissions alone.,"6. IDENTITY, PEOPLE AND QUALIFICATION",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-008,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Segregation of Duties,"Prevents conflicting activities, for example an operator independently approving their own exception or QA release where independent review is required.","Custom policy engine. Frappe roles provide inputs, but GxP Core performs final authorization.","6. IDENTITY, PEOPLE AND QUALIFICATION",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-009,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Employee Qualification,"Associates users with qualifications such as dispensing operator, sterile-area operator, QA reviewer or specific equipment authorization.",Frappe DocTypes hold training/qualification information. Execution engine validates current qualification before allowing a step.,"6. IDENTITY, PEOPLE AND QUALIFICATION",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-010,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Training Status,Links SOP/training requirements to users and their effectiveness or completion status. Expired/missing training can automatically block applicable activities.,Frappe document/workflow layer + proprietary execution gate.,"6. IDENTITY, PEOPLE AND QUALIFICATION",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-011,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Temporary Authorization,"Supports documented temporary qualification or emergency access with start/end date, justification and approval.",Custom Frappe workflow with mandatory GxP signature and audit event.,"6. IDENTITY, PEOPLE AND QUALIFICATION",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-012,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Product Master,"Defines product identity, code, dosage/device configuration, manufacturing type, lifecycle status and associated regulatory configuration.",Frappe DocType. Released GxP master versions are separately frozen in GxP Core.,"7. PRODUCT, MATERIAL AND SPECIFICATION MASTER",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-013,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Raw Material Master,"Defines APIs, excipients, components, packaging materials and device components used during manufacturing.",Frappe DocType; ERP synchronization through adapters.,"7. PRODUCT, MATERIAL AND SPECIFICATION MASTER",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-014,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Specification Master,"Stores approved specifications including acceptable ranges, units, methods and effective periods.",Draft authoring in Frappe; released specification becomes an immutable version in the Record Vault.,"7. PRODUCT, MATERIAL AND SPECIFICATION MASTER",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-015,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Unit of Measure,Defines controlled units and conversion rules. Prevents uncontrolled textual units and calculation ambiguity.,Frappe UOM capability/custom masters. Conversion algorithms belong to tested domain services.,"7. PRODUCT, MATERIAL AND SPECIFICATION MASTER",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-016,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Supplier / Manufacturer,Identifies manufacturer/supplier sources for received materials and components.,Frappe or ERP adapter. GxP execution stores supplier/manufacturer snapshots where required.,"7. PRODUCT, MATERIAL AND SPECIFICATION MASTER",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-017,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Material Quality Status,"Supports quarantine, sampled, under-test, approved, rejected, expired and other controlled states.",Frappe fields/workflows display status; Quality Status Engine performs controlled transitions and prevents unauthorized consumption.,"7. PRODUCT, MATERIAL AND SPECIFICATION MASTER",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-018,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Expiry / Retest,Tracks expiry/retest dates and automatically prevents use when material validity has elapsed.,Frappe stores dates; GxP Material Service performs enforcement at dispensing/consumption.,"7. PRODUCT, MATERIAL AND SPECIFICATION MASTER",N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-001,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Supplier Master,supplier identity; manufacturer identity; addresses; status; approved materials; qualification links; regulatory certificates; effective status,Frappe master + QMS links,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-002,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Supplier Qualification,qualification request; questionnaire; audit; risk classification; approval; expiry/requalification; suspension; disqualification,QMS workflow + GxP signatures,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-003,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Approved Supplier List,material-to-approved-supplier relationship; site applicability; effective dates; exceptions; change history,Frappe configuration + GxP versioning,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-004,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Purchase Requisition,requester; material/specification version; required quantity/date; site; approval; ERP synchronization,Frappe/native procurement,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-005,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,RFQ / Supplier Quote,RFQ issue; quote receipt; commercial comparison; supplier selection; attachment retention,Native module; non-GxP financial aspects may stay ERP,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
