function_id,module,submodule,function_name,purpose,caller_or_trigger,input_field,input_type,input_required,input_source,preconditions,authorization_action,qualification_requirement,sod_requirement,signature_requirement,processing_rules,db_reads,db_writes,transaction_boundary,return_type,return_fields,emitted_events,consumed_events,external_dependencies,idempotency,concurrency,error_codes,audit_events,security_events,configuration,test_ids,validation_requirement_ids,source_document,source_requirement_ids,derivation
FN-0001,SPEC-GXP-001,GxP Mutation Gateway,postGxpV1CommandsCommandtype,Implements `POST /gxp/v1/commands/{commandType}` declared in Document 03 §8. API Surface,Frappe UI / service client / adapter,commandType,path params (string/uuid) + JSON body per contracts/openapi,path params required; body per schema,authenticated caller (actor never taken from payload — MUT-FR-002),tenant/site scope resolved; aggregate exists; state transition allowed (MUT-FR-003/008),policy action for postGxpV1CommandsCommandtype (Doc 07),per configured qualification gate (MUT-FR-007),per configured SoD rule (Doc 07 / SIG-FR-018),evaluate via policy map,per requirements MUT-FR-001;MUT-FR-002;MUT-FR-003;MUT-FR-004;MUT-FR-005;MUT-FR-006;MUT-FR-007;MUT-FR-008;MUT-FR-009;MUT-FR-010;MUT-FR-011;MUT-FR-012;MUT-FR-013;MUT-FR-014;MUT-FR,owning aggregate + policy/qualification context,domain state + record version + audit + outbox,single PostgreSQL transaction (MUT-FR-015),MutationReceipt,"command_id, aggregate_id, resulting_version, audit_event_id, signature_id?, record_hash?, correlation_id",,,,idempotency_key required,expected_version required,ACTION_NOT_AUTHORIZED;AUTHENTICATION_REQUIRED;COMMAND_UNKNOWN;DEPENDENCY_UNAVAILABLE;EXPECTED_VERSION_REQUIRED;IDEMPOTENCY_CONFLICT;QUALIFICATION_REQUIRED;REASON_REQUIRED;REPLAY_DETECTED;RESOURCE_INELIGIBLE;RULE_FAILED;SCHEMA_INVALID,committed mutation audit event,"authz denial, replay, malformed payload",,unauthorized user;wrong site;expired qualification;invalid state transition;stale version;duplicate click/retry,Doc 80/81 trace for SPEC-GXP-001,Document 03,MUT-FR-001;MUT-FR-002;MUT-FR-003;MUT-FR-004;MUT-FR-005;MUT-FR-006;MUT-FR-007;MUT-FR-008;MUT-FR-009;MUT-FR-010;MUT-FR-011;MUT-FR-012;MUT-FR-013;MUT-FR-014;MUT-FR-015;MUT-FR-016;MUT-FR-017;MUT-FR-018;MUT-FR-019;MUT-FR-020;MUT-FR-021;MUT-FR-022;MUT-FR-023;MUT-FR-024;MUT-FR-025;MUT-FR-026;MUT-FR-027;MUT-FR-028;MUT-FR-029;MUT-FR-030;MUT-FR-031;MUT-FR-032,derived from declared API operation
FN-0002,SPEC-GXP-001,GxP Mutation Gateway,getGxpV1CommandsCommandidReceipt,Implements `GET /gxp/v1/commands/{commandId}/receipt` declared in Document 03 §8. API Surface,Frappe UI / service client / adapter,commandId,path params (string/uuid) + JSON body per contracts/openapi,path params required; body per schema,authenticated caller (actor never taken from payload — MUT-FR-002),tenant/site scope resolved; aggregate exists; state transition allowed (MUT-FR-003/008),policy action for getGxpV1CommandsCommandidReceipt (Doc 07),per configured qualification gate (MUT-FR-007),per configured SoD rule (Doc 07 / SIG-FR-018),none (read operation),per requirements MUT-FR-001;MUT-FR-002;MUT-FR-003;MUT-FR-004;MUT-FR-005;MUT-FR-006;MUT-FR-007;MUT-FR-008;MUT-FR-009;MUT-FR-010;MUT-FR-011;MUT-FR-012;MUT-FR-013;MUT-FR-014;MUT-FR,owning aggregate + policy/qualification context,none,read-only,resource representation,resource fields per contract,,,,n/a,n/a,ACTION_NOT_AUTHORIZED;AUTHENTICATION_REQUIRED;COMMAND_UNKNOWN;DEPENDENCY_UNAVAILABLE;EXPECTED_VERSION_REQUIRED;IDEMPOTENCY_CONFLICT;QUALIFICATION_REQUIRED;REASON_REQUIRED;REPLAY_DETECTED;RESOURCE_INELIGIBLE;RULE_FAILED;SCHEMA_INVALID,read access log where configured,"authz denial, replay, malformed payload",,unauthorized user;wrong site;expired qualification;invalid state transition;stale version;duplicate click/retry,Doc 80/81 trace for SPEC-GXP-001,Document 03,MUT-FR-001;MUT-FR-002;MUT-FR-003;MUT-FR-004;MUT-FR-005;MUT-FR-006;MUT-FR-007;MUT-FR-008;MUT-FR-009;MUT-FR-010;MUT-FR-011;MUT-FR-012;MUT-FR-013;MUT-FR-014;MUT-FR-015;MUT-FR-016;MUT-FR-017;MUT-FR-018;MUT-FR-019;MUT-FR-020;MUT-FR-021;MUT-FR-022;MUT-FR-023;MUT-FR-024;MUT-FR-025;MUT-FR-026;MUT-FR-027;MUT-FR-028;MUT-FR-029;MUT-FR-030;MUT-FR-031;MUT-FR-032,derived from declared API operation
FN-0003,SPEC-GXP-001,GxP Mutation Gateway,getGxpV1RecordsTypeIdMutationHistory,Implements `GET /gxp/v1/records/{type}/{id}/mutation-history` declared in Document 03 §8. API Surface,Frappe UI / service client / adapter,type;id,path params (string/uuid) + JSON body per contracts/openapi,path params required; body per schema,authenticated caller (actor never taken from payload — MUT-FR-002),tenant/site scope resolved; aggregate exists; state transition allowed (MUT-FR-003/008),policy action for getGxpV1RecordsTypeIdMutationHistory (Doc 07),per configured qualification gate (MUT-FR-007),per configured SoD rule (Doc 07 / SIG-FR-018),none (read operation),per requirements MUT-FR-001;MUT-FR-002;MUT-FR-003;MUT-FR-004;MUT-FR-005;MUT-FR-006;MUT-FR-007;MUT-FR-008;MUT-FR-009;MUT-FR-010;MUT-FR-011;MUT-FR-012;MUT-FR-013;MUT-FR-014;MUT-FR,owning aggregate + policy/qualification context,none,read-only,resource representation,resource fields per contract,,,,n/a,n/a,ACTION_NOT_AUTHORIZED;AUTHENTICATION_REQUIRED;COMMAND_UNKNOWN;DEPENDENCY_UNAVAILABLE;EXPECTED_VERSION_REQUIRED;IDEMPOTENCY_CONFLICT;QUALIFICATION_REQUIRED;REASON_REQUIRED;REPLAY_DETECTED;RESOURCE_INELIGIBLE;RULE_FAILED;SCHEMA_INVALID,read access log where configured,"authz denial, replay, malformed payload",,unauthorized user;wrong site;expired qualification;invalid state transition;stale version;duplicate click/retry,Doc 80/81 trace for SPEC-GXP-001,Document 03,MUT-FR-001;MUT-FR-002;MUT-FR-003;MUT-FR-004;MUT-FR-005;MUT-FR-006;MUT-FR-007;MUT-FR-008;MUT-FR-009;MUT-FR-010;MUT-FR-011;MUT-FR-012;MUT-FR-013;MUT-FR-014;MUT-FR-015;MUT-FR-016;MUT-FR-017;MUT-FR-018;MUT-FR-019;MUT-FR-020;MUT-FR-021;MUT-FR-022;MUT-FR-023;MUT-FR-024;MUT-FR-025;MUT-FR-026;MUT-FR-027;MUT-FR-028;MUT-FR-029;MUT-FR-030;MUT-FR-031;MUT-FR-032,derived from declared API operation
FN-0004,SPEC-GXP-001,GxP Mutation Gateway,postGxpV1CommandsCommandType,Implements `POST /gxp/v1/commands/{command_type}` declared in Document 03 §19.1 Submit command,Frappe UI / service client / adapter,command_type,path params (string/uuid) + JSON body per contracts/openapi,path params required; body per schema,authenticated caller (actor never taken from payload — MUT-FR-002),tenant/site scope resolved; aggregate exists; state transition allowed (MUT-FR-003/008),policy action for postGxpV1CommandsCommandType (Doc 07),per configured qualification gate (MUT-FR-007),per configured SoD rule (Doc 07 / SIG-FR-018),evaluate via policy map,per requirements MUT-FR-001;MUT-FR-002;MUT-FR-003;MUT-FR-004;MUT-FR-005;MUT-FR-006;MUT-FR-007;MUT-FR-008;MUT-FR-009;MUT-FR-010;MUT-FR-011;MUT-FR-012;MUT-FR-013;MUT-FR-014;MUT-FR,owning aggregate + policy/qualification context,domain state + record version + audit + outbox,single PostgreSQL transaction (MUT-FR-015),MutationReceipt,"command_id, aggregate_id, resulting_version, audit_event_id, signature_id?, record_hash?, correlation_id",,,,idempotency_key required,expected_version required,ACTION_NOT_AUTHORIZED;AUTHENTICATION_REQUIRED;COMMAND_UNKNOWN;DEPENDENCY_UNAVAILABLE;EXPECTED_VERSION_REQUIRED;IDEMPOTENCY_CONFLICT;QUALIFICATION_REQUIRED;REASON_REQUIRED;REPLAY_DETECTED;RESOURCE_INELIGIBLE;RULE_FAILED;SCHEMA_INVALID,committed mutation audit event,"authz denial, replay, malformed payload",,unauthorized user;wrong site;expired qualification;invalid state transition;stale version;duplicate click/retry,Doc 80/81 trace for SPEC-GXP-001,Document 03,MUT-FR-001;MUT-FR-002;MUT-FR-003;MUT-FR-004;MUT-FR-005;MUT-FR-006;MUT-FR-007;MUT-FR-008;MUT-FR-009;MUT-FR-010;MUT-FR-011;MUT-FR-012;MUT-FR-013;MUT-FR-014;MUT-FR-015;MUT-FR-016;MUT-FR-017;MUT-FR-018;MUT-FR-019;MUT-FR-020;MUT-FR-021;MUT-FR-022;MUT-FR-023;MUT-FR-024;MUT-FR-025;MUT-FR-026;MUT-FR-027;MUT-FR-028;MUT-FR-029;MUT-FR-030;MUT-FR-031;MUT-FR-032,derived from declared API operation
FN-0005,SPEC-GXP-002,21 CFR Part 11 Electronic Signature,postSignatureV1Challenges,Implements `POST /signature/v1/challenges` declared in Document 04 §Create challenge,Frappe UI / service client / adapter,command payload,path params (string/uuid) + JSON body per contracts/openapi,path params required; body per schema,authenticated caller (actor never taken from payload — MUT-FR-002),tenant/site scope resolved; aggregate exists; state transition allowed (MUT-FR-003/008),policy action for postSignatureV1Challenges (Doc 07),per configured qualification gate (MUT-FR-007),per configured SoD rule (Doc 07 / SIG-FR-018),SIGNATURE POLICY LOOKUP REQUIRED (Doc 04 SIG-FR-004; baseline values → SG-004),per requirements SIG-FR-001;SIG-FR-002;SIG-FR-003;SIG-FR-004;SIG-FR-005;SIG-FR-006;SIG-FR-007;SIG-FR-008;SIG-FR-009;SIG-FR-010;SIG-FR-011;SIG-FR-012;SIG-FR-013;SIG-FR-014;SIG-FR,owning aggregate + policy/qualification context,domain state + record version + audit + outbox,single PostgreSQL transaction (MUT-FR-015),MutationReceipt,"command_id, aggregate_id, resulting_version, audit_event_id, signature_id?, record_hash?, correlation_id",,,,idempotency_key required,expected_version required,ACTION_MISMATCH;AUTH_ASSURANCE_TOO_LOW;AUTH_CONTEXT_INVALID;AUTH_NOT_FRESH;CHALLENGE_ALREADY_USED;CHALLENGE_CANCELLED;CHALLENGE_EXPIRED;MEANING_MISMATCH;RECORD_HASH_CHANGED;RECORD_VERSION_CHANGED;SERVICE_ACCOUNT_NOT_ALLOWED;SIGNATURE_ALREADY_CONSUMED,committed mutation audit event,"authz denial, replay, malformed payload",,unique signer;renamed signer history;disabled signer;wrong signer challenge;fresh authentication required;record changes before completion,Doc 80/81 trace for SPEC-GXP-002,Document 04,SIG-FR-001;SIG-FR-002;SIG-FR-003;SIG-FR-004;SIG-FR-005;SIG-FR-006;SIG-FR-007;SIG-FR-008;SIG-FR-009;SIG-FR-010;SIG-FR-011;SIG-FR-012;SIG-FR-013;SIG-FR-014;SIG-FR-015;SIG-FR-016;SIG-FR-017;SIG-FR-018;SIG-FR-019;SIG-FR-020;SIG-FR-021;SIG-FR-022;SIG-FR-023;SIG-FR-024;SIG-FR-025;SIG-FR-026;SIG-FR-027;SIG-FR-028;SIG-FR-029;SIG-FR-030,derived from declared API operation
FN-0006,SPEC-GXP-002,21 CFR Part 11 Electronic Signature,postSignatureV1ChallengesIdVerify,Implements `POST /signature/v1/challenges/{id}/verify` declared in Document 04 §Verify/complete challenge,Frappe UI / service client / adapter,id,path params (string/uuid) + JSON body per contracts/openapi,path params required; body per schema,authenticated caller (actor never taken from payload — MUT-FR-002),tenant/site scope resolved; aggregate exists; state transition allowed (MUT-FR-003/008),policy action for postSignatureV1ChallengesIdVerify (Doc 07),per configured qualification gate (MUT-FR-007),per configured SoD rule (Doc 07 / SIG-FR-018),SIGNATURE POLICY LOOKUP REQUIRED (Doc 04 SIG-FR-004; baseline values → SG-004),per requirements SIG-FR-001;SIG-FR-002;SIG-FR-003;SIG-FR-004;SIG-FR-005;SIG-FR-006;SIG-FR-007;SIG-FR-008;SIG-FR-009;SIG-FR-010;SIG-FR-011;SIG-FR-012;SIG-FR-013;SIG-FR-014;SIG-FR,owning aggregate + policy/qualification context,domain state + record version + audit + outbox,single PostgreSQL transaction (MUT-FR-015),MutationReceipt,"command_id, aggregate_id, resulting_version, audit_event_id, signature_id?, record_hash?, correlation_id",,,,idempotency_key required,expected_version required,ACTION_MISMATCH;AUTH_ASSURANCE_TOO_LOW;AUTH_CONTEXT_INVALID;AUTH_NOT_FRESH;CHALLENGE_ALREADY_USED;CHALLENGE_CANCELLED;CHALLENGE_EXPIRED;MEANING_MISMATCH;RECORD_HASH_CHANGED;RECORD_VERSION_CHANGED;SERVICE_ACCOUNT_NOT_ALLOWED;SIGNATURE_ALREADY_CONSUMED,committed mutation audit event,"authz denial, replay, malformed payload",,unique signer;renamed signer history;disabled signer;wrong signer challenge;fresh authentication required;record changes before completion,Doc 80/81 trace for SPEC-GXP-002,Document 04,SIG-FR-001;SIG-FR-002;SIG-FR-003;SIG-FR-004;SIG-FR-005;SIG-FR-006;SIG-FR-007;SIG-FR-008;SIG-FR-009;SIG-FR-010;SIG-FR-011;SIG-FR-012;SIG-FR-013;SIG-FR-014;SIG-FR-015;SIG-FR-016;SIG-FR-017;SIG-FR-018;SIG-FR-019;SIG-FR-020;SIG-FR-021;SIG-FR-022;SIG-FR-023;SIG-FR-024;SIG-FR-025;SIG-FR-026;SIG-FR-027;SIG-FR-028;SIG-FR-029;SIG-FR-030,derived from declared API operation
FN-0007,SPEC-GXP-002,21 CFR Part 11 Electronic Signature,postSignatureV1SignaturesIdConsume,Implements `POST /signature/v1/signatures/{id}/consume` declared in Document 04 §Consume signature,Frappe UI / service client / adapter,id,path params (string/uuid) + JSON body per contracts/openapi,path params required; body per schema,authenticated caller (actor never taken from payload — MUT-FR-002),tenant/site scope resolved; aggregate exists; state transition allowed (MUT-FR-003/008),policy action for postSignatureV1SignaturesIdConsume (Doc 07),per configured qualification gate (MUT-FR-007),per configured SoD rule (Doc 07 / SIG-FR-018),SIGNATURE POLICY LOOKUP REQUIRED (Doc 04 SIG-FR-004; baseline values → SG-004),per requirements SIG-FR-001;SIG-FR-002;SIG-FR-003;SIG-FR-004;SIG-FR-005;SIG-FR-006;SIG-FR-007;SIG-FR-008;SIG-FR-009;SIG-FR-010;SIG-FR-011;SIG-FR-012;SIG-FR-013;SIG-FR-014;SIG-FR,owning aggregate + policy/qualification context,domain state + record version + audit + outbox,single PostgreSQL transaction (MUT-FR-015),MutationReceipt,"command_id, aggregate_id, resulting_version, audit_event_id, signature_id?, record_hash?, correlation_id",,,,idempotency_key required,expected_version required,ACTION_MISMATCH;AUTH_ASSURANCE_TOO_LOW;AUTH_CONTEXT_INVALID;AUTH_NOT_FRESH;CHALLENGE_ALREADY_USED;CHALLENGE_CANCELLED;CHALLENGE_EXPIRED;MEANING_MISMATCH;RECORD_HASH_CHANGED;RECORD_VERSION_CHANGED;SERVICE_ACCOUNT_NOT_ALLOWED;SIGNATURE_ALREADY_CONSUMED,committed mutation audit event,"authz denial, replay, malformed payload",,unique signer;renamed signer history;disabled signer;wrong signer challenge;fresh authentication required;record changes before completion,Doc 80/81 trace for SPEC-GXP-002,Document 04,SIG-FR-001;SIG-FR-002;SIG-FR-003;SIG-FR-004;SIG-FR-005;SIG-FR-006;SIG-FR-007;SIG-FR-008;SIG-FR-009;SIG-FR-010;SIG-FR-011;SIG-FR-012;SIG-FR-013;SIG-FR-014;SIG-FR-015;SIG-FR-016;SIG-FR-017;SIG-FR-018;SIG-FR-019;SIG-FR-020;SIG-FR-021;SIG-FR-022;SIG-FR-023;SIG-FR-024;SIG-FR-025;SIG-FR-026;SIG-FR-027;SIG-FR-028;SIG-FR-029;SIG-FR-030,derived from declared API operation
FN-0008,SPEC-GXP-003,Immutable Audit Ledger & Audit Review,getAuditV1RecordsTypeId,Implements `GET /audit/v1/records/{type}/{id}` declared in Document 05 §18. Audit Query API,Frappe UI / service client / adapter,type;id,path params (string/uuid) + JSON body per contracts/openapi,path params required; body per schema,authenticated caller (actor never taken from payload — MUT-FR-002),tenant/site scope resolved; aggregate exists; state transition allowed (MUT-FR-003/008),policy action for getAuditV1RecordsTypeId (Doc 07),per configured qualification gate (MUT-FR-007),per configured SoD rule (Doc 07 / SIG-FR-018),none (read operation),per requirements AUD-FR-001;AUD-FR-002;AUD-FR-003;AUD-FR-004;AUD-FR-005;AUD-FR-006;AUD-FR-007;AUD-FR-008;AUD-FR-009;AUD-FR-010;AUD-FR-011;AUD-FR-012;AUD-FR-013;AUD-FR-014;AUD-FR,owning aggregate + policy/qualification context,none,read-only,resource representation,resource fields per contract,,,,n/a,n/a,,read access log where configured,"authz denial, replay, malformed payload",,create/change/delete-like correction events;previous value preservation;reason;signature link;human vs integration identity;event ordering,Doc 80/81 trace for SPEC-GXP-003,Document 05,AUD-FR-001;AUD-FR-002;AUD-FR-003;AUD-FR-004;AUD-FR-005;AUD-FR-006;AUD-FR-007;AUD-FR-008;AUD-FR-009;AUD-FR-010;AUD-FR-011;AUD-FR-012;AUD-FR-013;AUD-FR-014;AUD-FR-015;AUD-FR-016;AUD-FR-017;AUD-FR-018;AUD-FR-019;AUD-FR-020;AUD-FR-021;AUD-FR-022;AUD-FR-023;AUD-FR-024;AUD-FR-025;AUD-FR-026;AUD-FR-027;AUD-FR-028;AUD-FR-029;AUD-FR-030,derived from declared API operation
FN-0009,SPEC-GXP-003,Immutable Audit Ledger & Audit Review,getAuditV1BatchesId,Implements `GET /audit/v1/batches/{id}` declared in Document 05 §18. Audit Query API,Frappe UI / service client / adapter,id,path params (string/uuid) + JSON body per contracts/openapi,path params required; body per schema,authenticated caller (actor never taken from payload — MUT-FR-002),tenant/site scope resolved; aggregate exists; state transition allowed (MUT-FR-003/008),policy action for getAuditV1BatchesId (Doc 07),per configured qualification gate (MUT-FR-007),per configured SoD rule (Doc 07 / SIG-FR-018),none (read operation),per requirements AUD-FR-001;AUD-FR-002;AUD-FR-003;AUD-FR-004;AUD-FR-005;AUD-FR-006;AUD-FR-007;AUD-FR-008;AUD-FR-009;AUD-FR-010;AUD-FR-011;AUD-FR-012;AUD-FR-013;AUD-FR-014;AUD-FR,owning aggregate + policy/qualification context,none,read-only,resource representation,resource fields per contract,,,,n/a,n/a,,read access log where configured,"authz denial, replay, malformed payload",,create/change/delete-like correction events;previous value preservation;reason;signature link;human vs integration identity;event ordering,Doc 80/81 trace for SPEC-GXP-003,Document 05,AUD-FR-001;AUD-FR-002;AUD-FR-003;AUD-FR-004;AUD-FR-005;AUD-FR-006;AUD-FR-007;AUD-FR-008;AUD-FR-009;AUD-FR-010;AUD-FR-011;AUD-FR-012;AUD-FR-013;AUD-FR-014;AUD-FR-015;AUD-FR-016;AUD-FR-017;AUD-FR-018;AUD-FR-019;AUD-FR-020;AUD-FR-021;AUD-FR-022;AUD-FR-023;AUD-FR-024;AUD-FR-025;AUD-FR-026;AUD-FR-027;AUD-FR-028;AUD-FR-029;AUD-FR-030,derived from declared API operation
FN-0010,SPEC-GXP-003,Immutable Audit Ledger & Audit Review,getAuditV1UsersSubjectid,Implements `GET /audit/v1/users/{subjectId}` declared in Document 05 §18. Audit Query API,Frappe UI / service client / adapter,subjectId,path params (string/uuid) + JSON body per contracts/openapi,path params required; body per schema,authenticated caller (actor never taken from payload — MUT-FR-002),tenant/site scope resolved; aggregate exists; state transition allowed (MUT-FR-003/008),policy action for getAuditV1UsersSubjectid (Doc 07),per configured qualification gate (MUT-FR-007),per configured SoD rule (Doc 07 / SIG-FR-018),none (read operation),per requirements AUD-FR-001;AUD-FR-002;AUD-FR-003;AUD-FR-004;AUD-FR-005;AUD-FR-006;AUD-FR-007;AUD-FR-008;AUD-FR-009;AUD-FR-010;AUD-FR-011;AUD-FR-012;AUD-FR-013;AUD-FR-014;AUD-FR,owning aggregate + policy/qualification context,none,read-only,resource representation,resource fields per contract,,,,n/a,n/a,,read access log where configured,"authz denial, replay, malformed payload",,create/change/delete-like correction events;previous value preservation;reason;signature link;human vs integration identity;event ordering,Doc 80/81 trace for SPEC-GXP-003,Document 05,AUD-FR-001;AUD-FR-002;AUD-FR-003;AUD-FR-004;AUD-FR-005;AUD-FR-006;AUD-FR-007;AUD-FR-008;AUD-FR-009;AUD-FR-010;AUD-FR-011;AUD-FR-012;AUD-FR-013;AUD-FR-014;AUD-FR-015;AUD-FR-016;AUD-FR-017;AUD-FR-018;AUD-FR-019;AUD-FR-020;AUD-FR-021;AUD-FR-022;AUD-FR-023;AUD-FR-024;AUD-FR-025;AUD-FR-026;AUD-FR-027;AUD-FR-028;AUD-FR-029;AUD-FR-030,derived from declared API operation
