capability_id,capability_name,source_section,implementing_document,implementing_module,work_package,match_score,coverage_state,action
C-001,Organization & Legal Entity,"5.1 Organization, facility and production structure",Document 69,SPEC-DATA-001,WP-11,5,PARTIAL,confirm during work-package scope review
C-002,Manufacturing Site,"5.1 Organization, facility and production structure",Document 09,SPEC-EBMR-000,WP-02,4,PARTIAL,confirm during work-package scope review
C-003,Building / Area / Room / Line,"5.1 Organization, facility and production structure",Document 40,SPEC-EQP-003,WP-06,6,COVERED,
C-004,Department / Function,"5.1 Organization, facility and production structure",Document 04,SPEC-GXP-002,WP-01,2,NOT_COVERED,confirm during work-package scope review
C-005,Shift Management,"5.1 Organization, facility and production structure",Document 11,SPEC-EBMR-002,WP-02,2,NOT_COVERED,confirm during work-package scope review
C-006,Unique User Identity,"6. IDENTITY, PEOPLE AND QUALIFICATION",Document 07,SPEC-IAM-001,WP-01,6,COVERED,
C-007,Role Based Access,"6. IDENTITY, PEOPLE AND QUALIFICATION",Document 07,SPEC-IAM-001,WP-01,2,NOT_COVERED,confirm during work-package scope review
C-008,Segregation of Duties,"6. IDENTITY, PEOPLE AND QUALIFICATION",Document 07,SPEC-IAM-001,WP-01,3,PARTIAL,confirm during work-package scope review
C-009,Employee Qualification,"6. IDENTITY, PEOPLE AND QUALIFICATION",Document 40,SPEC-EQP-003,WP-06,5,PARTIAL,confirm during work-package scope review
C-010,Training Status,"6. IDENTITY, PEOPLE AND QUALIFICATION",Document 09,SPEC-EBMR-000,WP-02,2,NOT_COVERED,confirm during work-package scope review
C-011,Temporary Authorization,"6. IDENTITY, PEOPLE AND QUALIFICATION",Document 07,SPEC-IAM-001,WP-01,5,PARTIAL,confirm during work-package scope review
C-012,Product Master,"7. PRODUCT, MATERIAL AND SPECIFICATION MASTER",Document 09,SPEC-EBMR-000,WP-02,7,COVERED,
C-013,Raw Material Master,"7. PRODUCT, MATERIAL AND SPECIFICATION MASTER",Document 09,SPEC-EBMR-000,WP-02,4,PARTIAL,confirm during work-package scope review
C-014,Specification Master,"7. PRODUCT, MATERIAL AND SPECIFICATION MASTER",Document 10,SPEC-EBMR-001,WP-02,2,NOT_COVERED,confirm during work-package scope review
C-015,Unit of Measure,"7. PRODUCT, MATERIAL AND SPECIFICATION MASTER",Document 08,SPEC-GXP-006,WP-01,4,PARTIAL,confirm during work-package scope review
C-016,Supplier / Manufacturer,"7. PRODUCT, MATERIAL AND SPECIFICATION MASTER",Document 18,SPEC-MAT-001,WP-04,2,NOT_COVERED,confirm during work-package scope review
C-017,Material Quality Status,"7. PRODUCT, MATERIAL AND SPECIFICATION MASTER",Document 19,SPEC-MAT-002A,WP-04,6,COVERED,
C-018,Expiry / Retest,"7. PRODUCT, MATERIAL AND SPECIFICATION MASTER",Document 15,SPEC-EBMR-006,WP-03,3,PARTIAL,confirm during work-package scope review
MAT-001,Supplier Master,7A.2 Required procurement and material sub-functionalities,Document 18,SPEC-MAT-001,WP-04,4,PARTIAL,confirm during work-package scope review
MAT-002,Supplier Qualification,7A.2 Required procurement and material sub-functionalities,Document 18,SPEC-MAT-001,WP-04,11,COVERED,
MAT-003,Approved Supplier List,7A.2 Required procurement and material sub-functionalities,Document 52,SPEC-ERP-005,WP-07,6,COVERED,
MAT-004,Purchase Requisition,7A.2 Required procurement and material sub-functionalities,Document 10,SPEC-EBMR-001,WP-02,5,PARTIAL,confirm during work-package scope review
MAT-005,RFQ / Supplier Quote,7A.2 Required procurement and material sub-functionalities,Document 49,SPEC-ERP-002,WP-07,4,PARTIAL,confirm during work-package scope review
MAT-006,Purchase Order,7A.2 Required procurement and material sub-functionalities,Document 18,SPEC-MAT-001,WP-04,7,COVERED,
MAT-007,Material Receipt / GRN,7A.2 Required procurement and material sub-functionalities,Document 19,SPEC-MAT-002A,WP-04,7,COVERED,
MAT-008,COA Management,7A.2 Required procurement and material sub-functionalities,Document 10,SPEC-EBMR-001,WP-02,4,PARTIAL,confirm during work-package scope review
MAT-009,Quarantine,7A.2 Required procurement and material sub-functionalities,Document 19,SPEC-MAT-002A,WP-04,5,PARTIAL,confirm during work-package scope review
MAT-010,Sampling,7A.2 Required procurement and material sub-functionalities,Document 19,SPEC-MAT-002A,WP-04,7,COVERED,
MAT-011,QC Disposition,7A.2 Required procurement and material sub-functionalities,Document 19,SPEC-MAT-002A,WP-04,6,COVERED,
MAT-012,Warehouse/Location,7A.2 Required procurement and material sub-functionalities,Document 20,SPEC-MAT-002B,WP-04,4,PARTIAL,confirm during work-package scope review
MAT-013,FEFO / Eligibility,7A.2 Required procurement and material sub-functionalities,Document 20,SPEC-MAT-002B,WP-04,8,COVERED,
MAT-014,Material Reservation,7A.2 Required procurement and material sub-functionalities,Document 19,SPEC-MAT-002A,WP-04,4,PARTIAL,confirm during work-package scope review
MAT-015,Material Issue,7A.2 Required procurement and material sub-functionalities,Document 21,SPEC-MAT-002C,WP-04,7,COVERED,
MAT-016,Material Dispensing,7A.2 Required procurement and material sub-functionalities,Document 21,SPEC-MAT-002C,WP-04,8,COVERED,
MAT-017,Material Return,7A.2 Required procurement and material sub-functionalities,Document 19,SPEC-MAT-002A,WP-04,5,PARTIAL,confirm during work-package scope review
MAT-018,Inventory Adjustment,7A.2 Required procurement and material sub-functionalities,Document 03,SPEC-GXP-001,WP-01,3,PARTIAL,confirm during work-package scope review
MAT-019,Destruction,7A.2 Required procurement and material sub-functionalities,Document 22,SPEC-MAT-002D,WP-04,3,PARTIAL,confirm during work-package scope review
MAT-020,Reconciliation,7A.2 Required procurement and material sub-functionalities,Document 17,SPEC-EBMR-008,WP-03,3,PARTIAL,confirm during work-package scope review
MAT-021,Material Genealogy,7A.2 Required procurement and material sub-functionalities,Document 19,SPEC-MAT-002A,WP-04,5,PARTIAL,confirm during work-package scope review
MAT-022,ERP Synchronization,7A.2 Required procurement and material sub-functionalities,Document 22,SPEC-MAT-002D,WP-04,4,PARTIAL,confirm during work-package scope review
C-019,Master Manufacturing Record,8. MASTER RECIPE / MANUFACTURING SPECIFICATION,Document 08,SPEC-GXP-006,WP-01,2,NOT_COVERED,confirm during work-package scope review
C-020,Recipe Version Control,8. MASTER RECIPE / MANUFACTURING SPECIFICATION,Document 10,SPEC-EBMR-001,WP-02,3,PARTIAL,confirm during work-package scope review
C-021,Effective Dating,8. MASTER RECIPE / MANUFACTURING SPECIFICATION,Document 10,SPEC-EBMR-001,WP-02,3,PARTIAL,confirm during work-package scope review
C-022,Structured Steps,8. MASTER RECIPE / MANUFACTURING SPECIFICATION,Document 10,SPEC-EBMR-001,WP-02,2,NOT_COVERED,confirm during work-package scope review
C-023,Step Dependencies,8. MASTER RECIPE / MANUFACTURING SPECIFICATION,Document 10,SPEC-EBMR-001,WP-02,4,PARTIAL,confirm during work-package scope review
C-024,Parameter Definitions,8. MASTER RECIPE / MANUFACTURING SPECIFICATION,Document 10,SPEC-EBMR-001,WP-02,3,PARTIAL,confirm during work-package scope review
C-025,Calculation Definitions,8. MASTER RECIPE / MANUFACTURING SPECIFICATION,Document 17,SPEC-EBMR-008,WP-03,7,COVERED,
C-026,Instruction Versioning,8. MASTER RECIPE / MANUFACTURING SPECIFICATION,Document 10,SPEC-EBMR-001,WP-02,4,PARTIAL,confirm during work-package scope review
